Response ID,Female,Leader,Rank,Shift,Station,Nbetweenness,NormInDeg,Flexibility1,Adaptability1,Stability,Predictability,Innovative,QuicklyRespondsOpportunities,Willingnesstoexperiment,Risk-taking,Beingcareful,Autonomy,Rule-oriented,Analytical,Attentiontodetail,Precision,Team-oriented,Informationsharedfreely,Emphasizesasingleculturethroughout,Fairness,Respectforindividualrights,Tolerance,Informality,People-oriented,Easygoing,Calm,Supportive,Aggressive,Decisiveness,Actionorientation,Takinginitiative,Beingreflective,Achievementorientation,Beingdemanding,Takingindividualresponsibility,Highexpectationsforperformance,Opportunitiesforprofessionalgrowth,Highpayforgoodperformance,Securityofemployment,Praises/recognizesgoodperformance,Lowlevelofconflict,Confrontsconflictdirectly,Developingfriendshipsatwork,Fittingin,Workingincollaborationwithothers,Enthusiasmforthejob,Workinglonghours,Notconstrainedbymanyrules,Emphasisonquality,Beingdistinctive/differentfromothers,Reputation,Beingsociallyresponsible,Resultsorientation,clearguidingphilosophy,Beingcompetitive,Beinghighlyorganized
1000,0,1,CAPTAIN,B,1,0.253,2.804,2,3,5,5,1,3,2,2,6,6,7,4,7,8,1,9,8,5,6,4,4,3,5,5,5,7,6,5,6,4,6,7,4,6,5,9,3,5,4,7,5,5,3,4,6,5,6,4,3,2,7,8,4,8
1001,0,0,FIREFIGHTER,A,1,0,0,4,1,5,9,4,7,2,5,6,5,4,6,7,6,2,9,4,4,7,4,5,8,8,4,6,5,6,6,4,4,6,7,1,2,2,5,7,3,5,5,8,5,3,3,5,5,8,3,7,3,6,5,3,6
1002,0,0,DRIVER,B,8,0,0,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,1,,,,2,2,3,,3,,,3,2,2,3,,,
1003,0,1,FIRE INSPECTOR,D,Fire Marshall,0,1.869,5,4,4,7,5,4,4,2,6,6,6,5,2,5,1,4,5,6,5,7,7,3,8,8,5,9,5,3,4,7,2,5,3,3,2,9,6,4,8,3,7,7,1,4,6,8,3,5,4,6,5,6,5,6
1004,0,0,FIREFIGHTER,C,1,0,0,5,5,4,6,6,6,5,8,2,8,9,6,4,5,2,5,8,4,4,5,6,1,3,4,1,5,2,5,3,5,6,9,4,7,4,8,3,3,3,5,7,7,4,6,7,7,4,6,2,3,5,5,7,6
1005,1,0,ADMIN ASSISTANT,D,Admin,0.623,0.935,4,6,5,7,1,3,2,4,6,7,5,4,3,7,4,9,6,5,5,8,6,5,6,6,3,8,7,4,4,3,4,7,2,1,3,9,5,4,5,2,5,7,3,4,8,5,2,6,5,5,5,6,6,8
1006,1,0,ADMIN ASSISTANT,D,Fire Marshall,0,0.935,4,5,3,8,5,6,6,6,5,7,4,6,5,6,1,5,6,4,3,5,9,1,6,7,3,8,7,5,3,7,3,7,4,2,3,8,5,4,5,6,5,8,2,4,4,9,2,6,4,5,5,7,4,2
1007,0,0,FIREFIGHTER,B,3,0,1.869,,3,,,,,,2,,,3,,3,,,,,,,2,,,,,,,,,,,,3,,2,,,,,,2,,3,,,1,1,,,,,,,3,
1008,0,1,FIRE INSPECTOR,D,Fire Marshall,0,1.869,3,7,3,9,4,4,4,7,4,5,5,7,3,7,1,4,6,4,5,7,7,1,5,5,4,8,6,5,4,5,6,8,6,2,5,6,6,5,9,5,6,8,3,2,8,6,2,6,3,3,5,4,5,2
1009,0,0,FIREFIGHTER,A,1,0,0,3,3,7,5,4,7,7,6,6,8,5,4,5,5,2,6,8,5,2,2,4,2,3,3,1,4,4,6,4,3,5,5,6,4,5,9,5,6,9,7,3,4,5,5,6,7,8,5,6,4,7,6,1,8
1010,0,0,FIREFIGHTER,C,1,0,0,,,,,,,,,,,2,,,,1,,,,1,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,0,0,FIREFIGHTER,B,2,0.035,0.935,4,5,3,7,3,5,3,3,2,6,5,1,6,6,4,9,4,8,7,6,5,7,5,7,8,5,6,4,5,6,4,3,8,5,2,8,3,7,6,6,4,5,4,6,7,1,5,2,5,5,2,9,4,4
1012,0,1,CAPTAIN,B,4,0,0.935,3,3,2,3,5,7,5,7,3,7,2,7,2,2,3,7,6,7,6,8,3,4,4,4,6,5,6,1,4,6,5,6,4,4,4,4,4,5,5,9,5,6,5,8,5,6,5,6,1,5,8,9,5,8
1013,0,1,BATTALION CHIEF,A,1,0,18.692,2,5,5,5,1,6,2,5,5,6,9,4,6,6,2,5,7,3,5,6,8,5,7,5,1,4,6,4,3,6,7,8,4,7,3,9,3,4,6,6,5,7,3,4,8,8,4,4,2,5,5,7,4,3
1014,1,0,ADMIN ASSISTANT,D,Support Services,0,0.935,3,5,4,6,6,5,7,8,5,6,4,6,4,5,1,3,9,2,5,5,5,2,4,4,2,8,6,5,3,5,4,7,3,7,4,8,2,4,5,6,6,7,5,3,8,9,5,1,3,7,6,6,7,4
1015,0,1,CAPTAIN,B,3,0,2.804,7,3,2,3,5,5,5,5,6,5,2,5,5,5,3,5,6,3,3,7,7,3,5,4,2,6,8,8,4,4,5,7,4,1,9,9,1,8,5,6,2,6,4,4,4,8,7,4,7,4,6,6,6,6
1016,0,0,FIREFIGHTER,C,1,0,0,4,4,2,4,6,7,5,7,6,5,6,4,8,6,3,9,5,6,4,7,5,3,6,5,2,8,5,4,6,7,1,8,3,5,1,5,2,4,5,7,5,4,3,6,8,9,5,4,3,6,2,3,7,5
1017,0,0,DRIVER,A,1,0,1.869,4,4,5,2,6,6,4,6,4,6,8,1,8,8,4,5,8,7,4,2,1,4,4,3,6,7,9,6,4,6,5,7,5,3,3,9,2,5,3,7,5,5,2,5,6,5,3,5,3,5,5,7,7,6
1018,0,0,FIREFIGHTER,A,4,0,0,3,3,3,7,7,5,6,8,6,7,9,9,6,4,5,6,6,5,2,7,5,3,4,4,5,1,2,6,5,5,5,4,8,7,4,5,4,6,5,6,7,4,2,3,8,8,1,5,2,6,5,4,3,4
1019,0,0,FIREFIGHTER,A,9,0,0.935,1,1,,3,,,,,3,,3,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,2,,,3,,3,,3,,,
